MC_NAME,MC_ID,MC_SORT_ID,AGG_TICKET_DATA,AGG_SEQ_NAME,AGG_PATTERN_NAME,START_TIME,END_TIME,DURATION,TIME_ADJUST,KNIT_DURATION,COMPLETE,AGG_SHIFT_STATES,AGG_USER_STATES,AGG_SINTRAL_STATES,AGG_USER_NAME
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220104-hkgcot-4},5/10/2022 9:53,5/10/2022 10:07,0:13:50,0:00:00,0:00:50,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220082-line},5/10/2022 10:08,5/10/2022 10:09,0:00:09,0:00:00,0:00:00,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220082-line},5/10/2022 10:09,5/10/2022 10:31,0:22:06,0:00:00,0:02:23,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220082-line},5/10/2022 10:35,5/10/2022 11:16,0:41:27,0:00:00,0:40:25,1,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220082-line},5/10/2022 11:16,5/10/2022 11:18,0:01:26,0:00:00,0:00:03,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220099-VB-no-Qskin-line},5/10/2022 11:18,5/10/2022 11:53,0:35:19,0:00:00,0:25:55,1,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220092},5/10/2022 11:58,5/10/2022 12:25,0:27:05,0:00:00,0:00:00,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220092-oct-5},5/10/2022 12:25,5/10/2022 12:43,0:17:48,0:00:00,0:14:59,1,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220092-oct-5},5/10/2022 12:43,5/10/2022 14:37,1:54:02,0:00:00,0:00:02,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220092-oct-5},5/10/2022 14:37,5/10/2022 15:31,0:53:40,0:00:00,0:51:54,1,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220092-oct-5},5/10/2022 15:31,5/10/2022 15:34,0:02:42,0:00:00,0:00:05,0,{1},{3},{-1},{service}
005_ADF530W72,1586924646,1,{0||||||0},"{""""}",{P220103-M-F-R2-6},5/10/2022 15:35,5/10/2022 16:06,0:31:34,0:00:00,0:18:29,1,{1},{3},{-1},{service}
